0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6
3,6,1,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,1,6,6,6,6,1,6
4,6,2,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,1,6,6,6,6,2,6
5,6,1,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,1,6,6,6,6,1,6
6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
7,6,1,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,1,6
8,6,1,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,1,6
9,6,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,6
10,6,6,6,6,6,6,1,6,6,6,6,6,0,6,6,0,6,6,6,6,6,1,6,6,6,6,6,6
11,0,0,0,0,0,6,1,6,6,6,6,6,0,6,6,0,6,6,6,6,6,1,6,0,0,0,0,0
12,0,0,0,0,0,6,1,6,6,0,0,0,0,0,0,0,0,0,0,6,6,1,6,0,0,0,0,0
13,0,0,0,0,0,6,1,6,6,0,6,6,6,0,0,6,6,6,0,6,6,1,6,0,0,0,0,0
14,6,6,6,6,6,6,1,6,6,0,6,6,6,0,0,6,6,6,0,6,6,1,6,6,6,6,6,6
15,0,0,0,0,0,0,1,0,0,0,6,6,5,5,5,5,6,6,0,0,0,1,0,0,0,0,0,0
16,6,6,6,6,6,6,1,6,6,0,6,6,6,6,6,6,6,6,0,6,6,1,6,6,6,6,6,6
17,0,0,0,0,0,6,1,6,6,0,6,6,6,6,6,6,6,6,0,6,6,1,6,0,0,0,0,0
18,0,0,0,0,0,6,1,6,6,0,0,0,0,0,0,0,0,0,0,6,6,1,6,0,0,0,0,0
19,0,0,0,0,0,6,1,6,6,0,6,6,6,6,6,6,6,6,0,6,6,1,6,0,0,0,0,0
20,6,6,6,6,6,6,1,6,6,0,6,6,6,6,6,6,6,6,0,6,6,1,6,6,6,6,6,6
21,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6
22,6,1,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,1,6,6,6,6,1,6
23,6,1,6,6,6,6,1,6,6,6,6,6,1,6,6,1,6,6,6,6,6,1,6,6,6,6,1,6
24,6,2,1,1,6,6,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,6,6,1,1,2,6
25,6,6,6,1,6,6,1,6,6,1,6,6,6,6,6,6,6,6,1,6,6,1,6,6,1,6,6,6
26,6,6,6,1,6,6,1,6,6,1,6,6,6,6,6,6,6,6,1,6,6,1,6,6,1,6,6,6
27,6,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,6
28,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,6,6,1,6
29,6,1,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,6,6,1,6
30,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
31,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
